answer,question
“秒懂星课堂”是百度百科2017年推出的明星短视频栏目。邀请时下热门明星录制3分钟左右短视频，向大众分享一个知识点，让复杂的知识更简单的同时，带你了解明星的另一面。...,秒懂星课堂
交易方式是商业企业销售商品的方式。在我国，商品销售方式主要有批发、零售和内部调拨三种。零售，指商业企业或生产者把商品售给居民或社会集团用作生活或其他非生产消费的商品销售活动。它处在商品流通的终点，把商品从流通领域推进到消费领域。零售业务主要由零售企业经营，并按零售价格出售，每次出售商品的数量不多，交易次数频繁，一般是一手钱、一手货的现款交易方式，少数社会集团购买商品，也有通过非现金结算方式的。批发，指商业企业将商品出售给其他商业企业用作转卖或出售给生产单位用于加工制作产品的商品销售活动。是生产与零售之间的中间环节。通过批发使商品从产地到达销地进入流通领域。一般由批发商业企业经营，按批发价格出售，每次出售的数量较大，其货款一般都通过非现金结算方式。...,交易方式
金融市场是指经营货币资金借款、外汇买卖、有价证券交易、债券和股票的发行、黄金等贵金属买卖场所的总称，直接金融市场与间接金融市场的结合共同构成金融市场整体。金融市场可以从不同的角度进行分类： (1) 按融资期限，可分为短期金融市场和长期金融市场。短期金融市场亦叫货币市场，包括票据贴现市场、短期存贷款市场、短期债券市场和金融机构之间的拆借市场等；长期金融市场亦称资本市场，包括长期贷款市场和证券市场。(2) 按交易对象，可分为本币市场 (包括货币市场和资本市场)、外汇市场、黄金市场、证券市场等。...,金融市场
"金融中介是指在金融市场上资金融通过程中，在资金供求者之间起媒介或桥梁作用的人或机构。约翰·G·格利和爱德华·S·肖（Edward S．Shaw）把金融中介机构分为两大类：货币系统和非货币的中介机构。货币系统作为中介机制，购买初级证券和创造货币；非货币的中介机构只履行购买初级证券和创造对自身的货币债权的中介作用，这种债权采取储蓄存款,股份，普通股票和其它债券形式。...",金融中介
公共产品(Public good)是私人产品的对称，是指具有消费或使用上的非竞争性和受益上的非排他性的产品。公共产品，亦称“公共财货”、“公共物品”。西方经济学用语。指能为绝大多数人共同消费或享用的产品或服务。如国防、公安司法等方面所具有的财物和劳务，以及义务教育、公共福利事业等。特点是一些人对这一产品的消费不会影响另一些人对它的消费，具有非竞争性；某些人对这一产品的利用，不会排斥另一些人对它的利用，具有非排他性。一般由政府或社会团体提供。...,公共产品
外部性又称为溢出效应、外部影响、外差效应或外部效应、外部经济，指一个人或一群人的行动和决策使另一个人或一群人受损或受益的情况。经济外部性是经济主体（包括厂商或个人）的经济活动对他人和社会造成的非市场化的影响。即社会成员（包括组织和个人）从事经济活动时其成本与后果不完全由该行为人承担。分为正外部性 (positive externality) 和负外部性 (negative externality)。正外部性是某个经济行为个体的活动使他人或社会受益，而受益者无须花费代价，负外部性是某个经济行为个体的活动使他人或社会受损，而造成负外部性的人却没有为此承担成本。...,外部性
金融活动作为一种经济活动必然需要有一定的经济活动主体。金融活动的主体主要是从事各种经济活动的企业、单位、个人和政府部门等。在现代经济社会中，各经济活动主体无不被卷入各种金融活动之中，日益熟练和频繁地参与金融活动。...,金融活动
中介机构是指依法通过专业知识和技术服务，向委托人提供公证性、代理性、信息技术服务性等中介服务的机构。...,中介机构
『秒懂全视界』是百度百科与互动视界2017年12月联合推出的VR旅游短视频栏目。...,秒懂全视界
经济体，是指对某个区域的经济组成进行统称和划分。经济体可以指一个地区，如台湾地区，或地区内的国家群体，如欧盟，东盟等。...,经济体
